=== Top query — sc-domain:atlantistours.pt  2026-04-17 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------  -----------  ------  --------
atlantis tours                                                                                                                                                                                                281     1187         23.7%   2.1     
atlantis tours portimao                                                                                                                                                                                       121     274          44.2%   1.3     
atlantis tours algarve                                                                                                                                                                                        21      44           47.7%   1.2     
atlantis tour portimao                                                                                                                                                                                        19      58           32.8%   1.0     
atlantis tours benagil                                                                                                                                                                                        18      32           56.2%   1.0     
atlantis tours portugal                                                                                                                                                                                       18      38           47.4%   1.0     
atlantis tours mare nostrum                                                                                                                                                                                   13      23           56.5%   2.0     
atlantis tour                                                                                                                                                                                                 12      88           13.6%   6.9     
atlantic tours                                                                                                                                                                                                9       46           19.6%   5.1     
atlantis tours portimão                                                                                                                                                                                       8       26           30.8%   1.0     
boat tour portimao                                                                                                                                                                                            6       30           20.0%   6.5     
mare nostrum portimao                                                                                                                                                                                         5       15           33.3%   1.3     
portimao boat tours                                                                                                                                                                                           5       60           8.3%    8.8     
benagil cave tour                                                                                                                                                                                             4       394          1.0%    35.4    
p4yservices                                                                                                                                                                                                   4       23           17.4%   3.0     
portimao                                                                                                                                                                                                      3       11           27.3%   1.3     
ac. porto comercial de portimão, 8500-512 portimão, portugal                                                                                                                                                  2       27           7.4%    4.8     
atlantis tours reviews                                                                                                                                                                                        2       32           6.2%    6.7     
atlantistours                                                                                                                                                                                                 2       9            22.2%   2.6     
portimao boat tour                                                                                                                                                                                            2       28           7.1%    8.1     
algarve bootstour grotten                                                                                                                                                                                     1       1            100.0%  1.0     
atlantic tour                                                                                                                                                                                                 1       4            25.0%   2.2     
atlantic tours and travel                                                                                                                                                                                     1       1            100.0%  3.0     
atlantik tours                                                                                                                                                                                                1       1            100.0%  1.0     
atlantis boat tour                                                                                                                                                                                            1       7            14.3%   5.1     
benagil boat                                                                                                                                                                                                  1       3            33.3%   14.0    
benagil boat tour                                                                                                                                                                                             1       27           3.7%    20.6    
benagil cave boat tour portimao                                                                                                                                                                               1       2            50.0%   10.0    
benagil cave tour portimao                                                                                                                                                                                    1       9            11.1%   10.6    
benagil cave tours                                                                                                                                                                                            1       36           2.8%    18.6    
best time to see dolphins in algarve                                                                                                                                                                          1       33           3.0%    8.5     
best time to visit benagil caves                                                                                                                                                                              1       13           7.7%    16.8    
boat tour benagil                                                                                                                                                                                             1       2            50.0%   12.0    
boat tours portimao                                                                                                                                                                                           1       25           4.0%    6.9     
boat trips portimao                                                                                                                                                                                           1       34           2.9%    13.6    
boat trips portimao portugal                                                                                                                                                                                  1       12           8.3%    13.1    
bootstour portimao                                                                                                                                                                                            1       135          0.7%    6.8     
boottocht benagil grotten                                                                                                                                                                                     1       1            100.0%  3.0     
ferragudo town                                                                                                                                                                                                1       1            100.0%  1.0     
in april                                                                                                                                                                                                      1       1            100.0%  22.0    
lagos portugal                                                                                                                                                                                                1       2            50.0%   1.0     
peixes do algarve                                                                                                                                                                                             1       4            25.0%   11.2    
portimao bootstour                                                                                                                                                                                            1       25           4.0%    2.1     
praia gale                                                                                                                                                                                                    1       1            100.0%  1.0     
praia portimao                                                                                                                                                                                                1       1            100.0%  1.0     
zoomarine algarve dolphin experience                                                                                                                                                                          1       1            100.0%  4.0     
"salaam cave" walk-in                                                                                                                                                                                         0       2            0.0%    2.5     
-site:facebook.com -site:fb.me -site:youtube.com -site:youtu.be -site:youtube.be -site:twitter.com -site:instagram.com -site:tiktok.com -sit                                                                  0       8            0.0%    20.0    
