=== Top query — sc-domain:atlantistours.pt  2026-02-15 → 2026-05-15 (final data) ===

query                                                                                                                                                                                                         clicks  impressions  ctr     position
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------  -----------  ------  --------
atlantis tours                                                                                                                                                                                                814     3363         24.2%   2.0     
atlantis tours portimao                                                                                                                                                                                       370     759          48.7%   1.1     
atlantis tours algarve                                                                                                                                                                                        75      135          55.6%   1.1     
atlantis tour                                                                                                                                                                                                 52      322          16.1%   5.9     
atlantis tours portugal                                                                                                                                                                                       38      81           46.9%   1.0     
atlantis tour portimao                                                                                                                                                                                        37      106          34.9%   1.1     
atlantis tours benagil                                                                                                                                                                                        37      64           57.8%   1.0     
atlantic tours                                                                                                                                                                                                32      144          22.2%   3.6     
atlantis tours mare nostrum                                                                                                                                                                                   24      40           60.0%   1.7     
atlantis tours portimão                                                                                                                                                                                       11      33           33.3%   1.0     
p4yservices                                                                                                                                                                                                   10      71           14.1%   3.3     
portimao boat tours                                                                                                                                                                                           8       97           8.2%    8.7     
boat tour portimao                                                                                                                                                                                            6       38           15.8%   6.3     
bootstour portimao                                                                                                                                                                                            5       1646         0.3%    4.8     
mare nostrum portimao                                                                                                                                                                                         5       15           33.3%   1.3     
atlantis boat tour                                                                                                                                                                                            4       26           15.4%   5.0     
benagil cave tour                                                                                                                                                                                             4       449          0.9%    34.3    
ac. porto comercial de portimão, 8500-512 portimão, portugal                                                                                                                                                  3       55           5.5%    4.4     
atlantis tours reviews                                                                                                                                                                                        3       106          2.8%    6.7     
portimao                                                                                                                                                                                                      3       26           11.5%   1.1     
atlantis turs                                                                                                                                                                                                 2       4            50.0%   4.2     
atlantistours                                                                                                                                                                                                 2       9            22.2%   2.6     
boat tour algarve                                                                                                                                                                                             2       36           5.6%    21.4    
boat tours portimao                                                                                                                                                                                           2       37           5.4%    6.9     
excursões algarve                                                                                                                                                                                             2       80           2.5%    4.4     
portimao boat tour                                                                                                                                                                                            2       49           4.1%    8.3     
portimao what to see                                                                                                                                                                                          2       10           20.0%   7.5     
silves river cruise                                                                                                                                                                                           2       20           10.0%   6.7     
algarve bootstour grotten                                                                                                                                                                                     1       1            100.0%  1.0     
algarve tour                                                                                                                                                                                                  1       52           1.9%    14.3    
arade river                                                                                                                                                                                                   1       48           2.1%    11.7    
atlantic boat tour                                                                                                                                                                                            1       5            20.0%   6.0     
atlantic tour                                                                                                                                                                                                 1       48           2.1%    9.0     
atlantic tours and travel                                                                                                                                                                                     1       2            50.0%   4.0     
atlantik tours                                                                                                                                                                                                1       1            100.0%  1.0     
atlantis                                                                                                                                                                                                      1       392          0.3%    12.0    
atlantis portugal                                                                                                                                                                                             1       193          0.5%    6.8     
atlantis tur                                                                                                                                                                                                  1       4            25.0%   4.2     
bateau portimao                                                                                                                                                                                               1       1582         0.1%    5.8     
benagil boat                                                                                                                                                                                                  1       4            25.0%   26.5    
benagil boat tour                                                                                                                                                                                             1       53           1.9%    28.6    
benagil cave boat tour portimao                                                                                                                                                                               1       2            50.0%   10.0    
benagil cave tour from portimão                                                                                                                                                                               1       26           3.8%    17.5    
benagil cave tour portimao                                                                                                                                                                                    1       9            11.1%   10.6    
benagil cave tours                                                                                                                                                                                            1       82           1.2%    19.2    
benagil tour portimao                                                                                                                                                                                         1       42           2.4%    14.8    
best time to see dolphins in algarve                                                                                                                                                                          1       33           3.0%    8.5     
best time to visit benagil caves                                                                                                                                                                              1       13           7.7%    16.8    
boat tour benagil                                                                                                                                                                                             1       2            50.0%   12.0    
boat trip algarve                                                                                                                                                                                             1       11           9.1%    44.1    
boat trip portimao                                                                                                                                                                                            1       53           1.9%    12.4    
boat trips portimao                                                                                                                                                                                           1       46           2.2%    14.2    
boat trips portimao portugal                                                                                                                                                                                  1       22           4.5%    17.7    
boottocht benagil grotten                                                                                                                                                                                     1       1            100.0%  3.0     
clubs in portimao                                                                                                                                                                                             1       1            100.0%  1.0     
ferragudo portugal carte                                                                                                                                                                                      1       1            100.0%  1.0     
ferragudo town                                                                                                                                                                                                1       1            100.0%  1.0     
in april                                                                                                                                                                                                      1       1            100.0%  22.0    
lagos portugal                                                                                                                                                                                                1       4            25.0%   1.0     
onde nasce o rio arade                                                                                                                                                                                        1       74           1.4%    10.5    
paseo en barco portimao                                                                                                                                                                                       1       229          0.4%    13.3    
peixes do algarve                                                                                                                                                                                             1       4            25.0%   11.2    
portimao benagil                                                                                                                                                                                              1       39           2.6%    10.2    
portimao bootstour                                                                                                                                                                                            1       46           2.2%    2.6     
portimao dolphin tour                                                                                                                                                                                         1       5            20.0%   6.8     
portimao dolphin watching                                                                                                                                                                                     1       41           2.4%    12.1    
portimao portugal                                                                                                                                                                                             1       4            25.0%   1.0     
praia gale                                                                                                                                                                                                    1       1            100.0%  1.0     
praia portimao                                                                                                                                                                                                1       1            100.0%  1.0     
rr hotel da rocha                                                                                                                                                                                             1       1            100.0%  1.0     
tour privado algarve                                                                                                                                                                                          1       75           1.3%    7.6     
water taxi portimao                                                                                                                                                                                           1       2            50.0%   1.5     
zoomarine algarve dolphin experience                                                                                                                                                                          1       1            100.0%  4.0     
"salaam cave" walk-in                                                                                                                                                                                         0       2            0.0%    2.5     
-site:facebook.com -site:fb.me -site:youtube.com -site:youtu.be -site:youtube.be -site:twitter.com -site:instagram.com -site:tiktok.com -sit                                                                  0       10           0.0%    21.0    
1-1.5 hours                                                                                                                                                                                                   0       1            0.0%    10.0    
20 days                                                                                                                                                                                                       0       1            0.0%    53.0    
4 tours                                                                                                                                                                                                       0       1            0.0%    3.0     
aatlantis                                                                                                                                                                                                     0       1            0.0%    10.0    
accessible benagil tours                                                                                                                                                                                      0       72           0.0%    34.3    
actividades en portimao                                                                                                                                                                                       0       6            0.0%    8.0     
activiteiten algarve                                                                                                                                                                                          0       1            0.0%    4.0     
activities for kids near me                                                                                                                                                                                   0       2            0.0%    2.5     
activities portimao                                                                                                                                                                                           0       1            0.0%    1.0     
activités algarve portugal                                                                                                                                                                                    0       1            0.0%    3.0     
activités autour de moi                                                                                                                                                                                       0       2            0.0%    4.5     
adventure boat tours                                                                                                                                                                                          0       2            0.0%    10.5    
agence de voyage algarve                                                                                                                                                                                      0       1            0.0%    3.0     
agence de voyage portugal algarve                                                                                                                                                                             0       4            0.0%    1.2     
agencia algarve                                                                                                                                                                                               0       1            0.0%    2.0     
agencia viagens portimao                                                                                                                                                                                      0       12           0.0%    4.4     
agencias de viagens portimão                                                                                                                                                                                  0       1            0.0%    1.0     
agência de viagens                                                                                                                                                                                            0       1            0.0%    1.0     
agência de viagens portimão                                                                                                                                                                                   0       4            0.0%    7.5     
agência travel                                                                                                                                                                                                0       1            0.0%    2.0     
agência turismo                                                                                                                                                                                               0       1            0.0%    2.0     
alantis                                                                                                                                                                                                       0       1            0.0%    2.0     
albufeira                                                                                                                                                                                                     0       2            0.0%    3.5     
albufeira dolphin watching                                                                                                                                                                                    0       1            0.0%    5.0     
albufeira old town photos                                                                                                                                                                                     0       1            0.0%    1.0     
albufeira tours excursions                                                                                                                                                                                    0       1            0.0%    53.0    
algar de benagil                                                                                                                                                                                              0       4            0.0%    6.2     
algar de benagil skylight                                                                                                                                                                                     0       1            0.0%    4.0     
algarve                                                                                                                                                                                                       0       1            0.0%    4.0     
algarve barco                                                                                                                                                                                                 0       1            0.0%    16.0    
algarve benagil caves                                                                                                                                                                                         0       1            0.0%    49.0    
algarve boat                                                                                                                                                                                                  0       6            0.0%    41.3    
algarve boat caves                                                                                                                                                                                            0       1            0.0%    12.0    
algarve boat rental                                                                                                                                                                                           0       1            0.0%    2.0     
algarve boat rides                                                                                                                                                                                            0       11           0.0%    24.3    
algarve boat tour                                                                                                                                                                                             0       18           0.0%    33.9    
algarve boat tours                                                                                                                                                                                            0       25           0.0%    39.6    
algarve boat tours caves                                                                                                                                                                                      0       6            0.0%    13.0    
algarve boat trip                                                                                                                                                                                             0       8            0.0%    44.2    
algarve boat trips                                                                                                                                                                                            0       42           0.0%    41.3    
algarve bootstour                                                                                                                                                                                             0       33           0.0%    20.7    
algarve cave                                                                                                                                                                                                  0       2            0.0%    45.0    
algarve cave boat tour                                                                                                                                                                                        0       2            0.0%    37.0    
algarve cave captain                                                                                                                                                                                          0       7            0.0%    41.3    
algarve cave tour                                                                                                                                                                                             0       1            0.0%    18.0    
algarve cave tours                                                                                                                                                                                            0       25           0.0%    20.8    
algarve caves                                                                                                                                                                                                 0       22           0.0%    31.2    
algarve caves boat tour                                                                                                                                                                                       0       2            0.0%    38.0    
algarve caves portugal                                                                                                                                                                                        0       4            0.0%    55.5    
algarve charter                                                                                                                                                                                               0       3            0.0%    65.0    
algarve charters                                                                                                                                                                                              0       21           0.0%    66.1    
algarve coast                                                                                                                                                                                                 0       1            0.0%    13.0    
algarve cruise                                                                                                                                                                                                0       2            0.0%    40.5    
algarve cruises                                                                                                                                                                                               0       12           0.0%    28.5    
algarve delfines                                                                                                                                                                                              0       4            0.0%    18.8    
algarve discovery                                                                                                                                                                                             0       8            0.0%    38.0    
algarve discovery benagil caves                                                                                                                                                                               0       1            0.0%    9.0     
algarve dolphin watching                                                                                                                                                                                      0       1            0.0%    8.0     
algarve em abril                                                                                                                                                                                              0       2            0.0%    4.0     
algarve en avril                                                                                                                                                                                              0       22           0.0%    9.2     
algarve en juin                                                                                                                                                                                               0       1            0.0%    8.0     
algarve en junio                                                                                                                                                                                              0       1            0.0%    8.0     
algarve en mai                                                                                                                                                                                                0       1            0.0%    11.0    
algarve erlebnisreise                                                                                                                                                                                         0       1            0.0%    21.0    
algarve excursiones                                                                                                                                                                                           0       23           0.0%    16.6    
algarve excursions                                                                                                                                                                                            0       41           0.0%    30.3    
algarve fishing                                                                                                                                                                                               0       2            0.0%    40.5    
algarve fishing boats                                                                                                                                                                                         0       1            0.0%    12.0    
algarve getyourguide                                                                                                                                                                                          0       1            0.0%    13.0    
algarve grotto trips                                                                                                                                                                                          0       1            0.0%    54.0    
algarve juin                                                                                                                                                                                                  0       1            0.0%    12.0    
